Country,Date,Song_Title,Artist,Streams,Rank
Global,2020-02-23,Intentions (feat. Quavo),Justin Bieber,"3,877,621",6
Global,2020-02-23,Falling,Trevor Daniel,"3,456,827",7
Global,2020-02-23,ROXANNE,Arizona Zervas,"3,405,442",8
Global,2020-02-23,No Time To Die,Billie Eilish,"3,236,593",9
Global,2020-02-23,After Hours,The Weeknd,"3,203,582",10
Global,2020-02-24,Blinding Lights,The Weeknd,"6,025,947",1
Global,2020-02-24,Dance Monkey,Tones And I,"5,477,146",2
Global,2020-02-24,The Box,Roddy Ricch,"5,369,275",3
Global,2020-02-24,Don't Start Now,Dua Lipa,"4,536,683",4
Global,2020-02-24,Intentions (feat. Quavo),Justin Bieber,"4,355,559",5
Global,2020-02-24,Tusa,"KAROL G, Nicki Minaj","3,910,220",6
Global,2020-02-24,Falling,Trevor Daniel,"3,627,090",7
Global,2020-02-24,After Hours,The Weeknd,"3,552,862",8
Global,2020-02-24,No Time To Die,Billie Eilish,"3,518,041",9
Global,2020-02-24,ROXANNE,Arizona Zervas,"3,462,790",10
Global,2020-02-25,Blinding Lights,The Weeknd,"6,138,762",1
Global,2020-02-25,The Box,Roddy Ricch,"5,523,027",2
Global,2020-02-25,Dance Monkey,Tones And I,"5,478,813",3
Global,2020-02-25,Don't Start Now,Dua Lipa,"4,667,393",4
Global,2020-02-25,Intentions (feat. Quavo),Justin Bieber,"4,411,061",5
Global,2020-02-25,Tusa,"KAROL G, Nicki Minaj","3,884,664",6
Global,2020-02-25,Falling,Trevor Daniel,"3,673,163",7
Global,2020-02-25,ROXANNE,Arizona Zervas,"3,511,772",8
Global,2020-02-25,No Time To Die,Billie Eilish,"3,467,951",9
Global,2020-02-25,After Hours,The Weeknd,"3,401,693",10
Global,2020-02-26,Blinding Lights,The Weeknd,"6,064,776",1
Global,2020-02-26,The Box,Roddy Ricch,"5,498,589",2
Global,2020-02-26,Dance Monkey,Tones And I,"5,487,618",3
Global,2020-02-26,Don't Start Now,Dua Lipa,"4,642,075",4
Global,2020-02-26,Intentions (feat. Quavo),Justin Bieber,"4,321,947",5
Global,2020-02-26,Tusa,"KAROL G, Nicki Minaj","3,850,170",6
Global,2020-02-26,Falling,Trevor Daniel,"3,674,019",7
Global,2020-02-26,ROXANNE,Arizona Zervas,"3,500,692",8
Global,2020-02-26,No Time To Die,Billie Eilish,"3,338,024",9
Global,2020-02-26,After Hours,The Weeknd,"3,198,764",10
Global,2020-02-27,Blinding Lights,The Weeknd,"6,099,009",1
Global,2020-02-27,Dance Monkey,Tones And I,"5,521,896",2
Global,2020-02-27,The Box,Roddy Ricch,"5,465,222",3
Global,2020-02-27,Don't Start Now,Dua Lipa,"4,672,099",4
Global,2020-02-27,Intentions (feat. Quavo),Justin Bieber,"4,347,625",5
Global,2020-02-27,Tusa,"KAROL G, Nicki Minaj","3,880,020",6
Global,2020-02-27,Falling,Trevor Daniel,"3,723,995",7
Global,2020-02-27,ROXANNE,Arizona Zervas,"3,551,718",8
Global,2020-02-27,No Time To Die,Billie Eilish,"3,212,248",9
Global,2020-02-27,After Hours,The Weeknd,"3,110,213",10
Global,2020-02-28,Blinding Lights,The Weeknd,"6,627,267",1
Global,2020-02-28,Dance Monkey,Tones And I,"5,869,523",2
Global,2020-02-28,The Box,Roddy Ricch,"5,796,804",3
Global,2020-02-28,Don't Start Now,Dua Lipa,"5,117,939",4
Global,2020-02-28,Intentions (feat. Quavo),Justin Bieber,"4,592,529",5
Global,2020-02-28,Stupid Love,Lady Gaga,"4,239,676",6
Global,2020-02-28,Tusa,"KAROL G, Nicki Minaj","4,174,402",7
Global,2020-02-28,Falling,Trevor Daniel,"3,874,713",8
Global,2020-02-28,ROXANNE,Arizona Zervas,"3,737,662",9
Global,2020-02-28,Say So,Doja Cat,"3,603,022",10
Global,2020-02-29,Blinding Lights,The Weeknd,"6,390,292",1
Global,2020-02-29,Dance Monkey,Tones And I,"5,930,139",2
Global,2020-02-29,The Box,Roddy Ricch,"5,904,147",3
Global,2020-02-29,Ignorantes,"Bad Bunny, Sech","5,040,301",4
Global,2020-02-29,Don't Start Now,Dua Lipa,"5,036,041",5
Global,2020-02-29,La Difícil,Bad Bunny,"4,944,733",6
Global,2020-02-29,Si Veo a Tu Mamá,Bad Bunny,"4,742,097",7
Global,2020-02-29,Tusa,"KAROL G, Nicki Minaj","4,297,439",8
Global,2020-02-29,Intentions (feat. Quavo),Justin Bieber,"4,296,649",9
Global,2020-02-29,La Santa,"Bad Bunny, Daddy Yankee","4,238,798",10
United States,2020-02-01,The Box,Roddy Ricch,"3,085,385",1
United States,2020-02-01,Life Is Good (feat. Drake),Future,"1,824,364",2
United States,2020-02-01,Godzilla (feat. Juice WRLD),Eminem,"1,350,456",3
United States,2020-02-01,ROXANNE,Arizona Zervas,"1,250,031",4
United States,2020-02-01,"I Do It (ft. Big Sean, Lil Baby)",Lil Wayne,"1,046,464",5
United States,2020-02-01,Falling,Trevor Daniel,"1,014,076",6
United States,2020-02-01,Blinding Lights,The Weeknd,"1,013,489",7
United States,2020-02-01,Suicidal,YNW Melly,"993,749",8
United States,2020-02-01,Circles,Post Malone,"973,543",9
United States,2020-02-01,everything i wanted,Billie Eilish,"940,668",10
United States,2020-02-02,The Box,Roddy Ricch,"2,837,462",1
